IdPlanta	IdProducto	IdCliente	Cantidad
1	178	"56789"	2
1	179	"65432"	3
1	180	"6543"	6
1	181	"7654"	5
1	182	"87654"	5
1	183	"987654"	7
1	184	"7654"	8
1	185	"564"	8
1	186	"456"	8
1	187	"5677"	8
1	188	"4657567"	9
1	189	"467567"	9
1	190	"457656745"	9
1	191	"4574567"	6
1	192	"567567"	5
1	193	"34"	6
1	194	"5434"	6
1	195	"3245345"	6
1	196	"343456"	1
1	197	"3245"	2
1	198	"234534"	3
1	199	"324534"	5
1	200	"235434"	4
1	201	"678"	6
1	202	"69879"	7
1	203	"452345"	6
1	204	"234134"	8
1	205	"1234234"	8
1	206	"897897"	8
1	207	"789698"	8
1	208	"6789789"	6
1	209	"7689978"	6
