IdPlanta	IdProducto	IdCliente	Cantidad
4	345	"452345"	23
4	456	"32452345"	3
4	76	"34523453"	23
4	8	"345234523"	3
4	56	"32453425324"	3
4	568	"45"	3
4	456	"45"	3
4	678	"5645763"	3
4	34	"7658"	34
4	34	"9"	4
4	56	"5"	4
4	78	"56"	4
4	907	"434"	5
4	564	"345"	5
4	65	"645"	6
4	56	"7656756"	7
4	4564	"84"	7
4	4576	"573"	7
4	456798	"4745"	65
4	768	"7"	5
4	7689	"67"	4
4	89	"6575345"	4
4	8	"6"	5
4	89	"7457"	6
4	67	"56373"	5
4	8	"453"	5
4	6	"4"	5
4	444	"574"	5
4	46	"747"	6
4	768	"435"	6
4	789	"43"	6
4	89	"456"	7
